S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
,,"Hakimpara, ",,,,,,,,
,,Siliguri – 734001,,,,,,,,
,,Bang South,,,,,,,,
1,78,Samaj Seva Bharathi Paschim,,Shibdas Biswas –,"shibdasbiswas@rediffmail.com,",,,,,
,PPS,"Banga, ",,"9432250184, ","s.sandip69@gmail.com,",◆,,,,
,,"27 / 1B – Bidhan Sarani,",,"(Off) 033 – 23500573,","rp_pp2001@yahoo.co.in,",No details,,,,
,,Kolkata – 700006,,23541199,"samajsevabharatipb2001@gmail.com, ",,,,,
,,,,,www.samajsevabharatipb.org,,,,,
2,301,Jamalpur – Kulai,Shree Ma Seva,Nayan Sardar –,sai.samanta@gmail.com,,,,,
,,"Kendra, ",,"09547030354, ",,,,,,
,,"Vill. Jamalpur, Post - Kulai, Dist.",,"9797607847, ",,School for Deaf &,,,,
,,Burdwan – 713143,,"(Off) 03453 – 217281,",,"Dumb, child",,,,
,,,,Saikat Samanta -,,development,,,,
,,,,9096629459,,(education & health),,,,
3,302,"Bastuhara Sahayata Samity, ",,Jibanmoy Basu -,arupjiban@gmail.com,,,,,
,,"27/1B, Bidhan Sarani, ",,"09903119135, ",,◆,,,,
,,Kolkata,"- 700006, ","(Off) 033-22410603,",,No details,,,,
,,West,Bengal,9096629459,,,,,,
4,303,"Seva Bharati, South 24",,Ajit Basu –,shibdasbiswas@rediffmail.com,,,,,
,,"Paraganas, ",,"9433440030, ",,,,,,
,,"Chacrabartipara, ",,"(Off) 033 – 24334763, ",,"Medical centre, SHG’s,",,,,
,,"P.O. Baruipur,",,9679046799,,Education,,,,
,,Dist South 24 Paraganas -,,,,,,,,
,,700144,,,,,,,,
,,,,,,,14,,,
5,304,Naskarhat Sarathi,,Debasish Das -,sarathi.kolkata@gmail.com,,,,,
,,"Samaj Sewa Sangathan, ",,9883226367,,No details,,,,
,,"C/o. Manik Dey, Naskarhat,",,,,,,,,
,,"Madhyapara, ",,,,,,,,
,,Kolkatta -700039,,,,,,,,
6,305,Basirhat Ramkrishana Pally,,Sukumar Baidya -,sebabharati_basirhat@gmail.com,,,,,
,,"Vivekananda Seva Bharati, ",,"9609382511, ",,,,,,
,,"Gita Bhaban, ",,(Off),03217 – 227952,No details,,,,
,,"Vill. Ramkrishna Pally, ",,,,,,,,
,,P.O.,"Basirhat – 743411, ",,,,,,,
,,Dist. North 24 Paraganas,,,,,,,,
7,311,"Vivekananda Vikash Parishad, ",,Moloykumar Kali –,manoj.chatterjeedgp@gmail.com,,,,,
,,"9/16, Shivaji Road, ",,"9932272022, ",,◆,,,,
,,Durgapur – 713204,,(Off) 0343 – 2572083,,No details,,,,
8,407,"Tara Cancer Foundation, ",,B.L.Patel -,"taracancerfoundation@yahoo.com,",,,,,
,,"21, Hemant Basu Sarani Center",,"9836003389,",www.taracancerfoundation.org,,,,,
,,"Point, ",,"9831007162, ",,Cancer detection,,,,
,,"Room No – 208, ",,(Off) 033 – 22316551,,centre,,,,
,,"opp Great Eastern Hotel, ",,,,,,,,
,,Kolkata -700001,,,,,,,,
9,579,Durgapur Swadesh Vikash,,Biman Mukherjee -,meetsksingh933@gmail.com,,,,,
,,"Manch, ",,"09332437220, ",,,,,,
,,"1C/2, Vidyapati Road, ",,(Off),9434103084,No details,,,,
,,"B – Zone, ",,,,,,,,
,,"Durgapur – 713205, ",,,,,,,,
,,Dist - Burdwan,,,,,,,,
10,623,"Narendrapur Helping Hand, ",,Jayanta,"nhhy2k@gmail.com, ",,,,,
,,"Biswaspara Ramchandrapur (N),",,Bhattacherjee-,www.nhhindia.org,,,,,
,,"Narendrapur, Dist Paraganas – ",,"09830257669, ",FCRA,No details,,,,
,,"700103, Kolkata ",,"(Off) 7890393224,",,,,,,
,,,,"09831409928, ",,,,,,
,,,,033 – 32614523,,,,,,
11,624,Ecofriendly Human & Natural,,Tapas Kumar Acharya-,ecolivehood@gmail.com,,,,,
,,,,,,,15,,,
,,Resource Development,"9093939335, ",,◆,,,,,
,,"Foundation, ",(Off) 033 – 2538 –,,"SHG 138, organic",,,,,
,,"No.3,Sri Nagar (Sibtala), ","0282, ",,"farming, medicinal",,,,,
,,"Post – Madhyamgram, ",8961460543,,plants,,,,,
,,"Barasat, ",,,,,,,,
,,Dist 24 Pargangas,,,,,,,,
,,(North) - 700129,,,,,,,,
12,625,Rabindrapally (E) Ekata Social,Somraj Aich -,ekatasocialwelfareorganization@gmail,,,,,,
,,"Welfare Organisation, ","8981530224, ",".com, ",,,,,,
,,"Rabindrapally (E), ",(Off) 7890020142,ekatasocialwelfare.org@gmail.com,No details,,,,,
,,"P.O – N.C.P.,Barrackpur, ",,,,,,,,
,,"P.O. Titaghar, ",,,,,,,,
,,Kolkata – 700122,,,,,,,,
13,633,"Sewa Surabhi, ",Priyotosh Dey -,pritamdey89@yahoo.in,,,,,,
,,"Madhab Dham, ","7399060667, ",,,,,,,
,,"Vill & Post Srigouri, ",(Off) 03845 – 281413,,No details,,,,,
,,"Dist Karim Ganj – 788702, Assam ",,,,,,,,
14,643,Purulia Manasganga Social,Sunil Chandrakar –,"sunil.kar1948@gmail.com,monideepch",,,,,,
,,"Welfare Society, ","9679974897, ",atterjee70@gmail.com,,,,,,
,,"Deep Complex, G.N. Mukharjee",(Off) 09434814901,,,,,,,
,,"Street, Munsef Danga, Purulia – ",,,No details,,,,,
,,723101,,,,,,,,
15,675,"Murshidabad Seva Bharati, ",Anil Kumar Ghosh –,-,,,,,,
,,"12/2, R.K. Bhattacharya Lane, ","9647381217, ",,,,,,,
,,"P.O. Berhampore, ",(Off) 09679670166,,No details,,,,,
,,"Rani Bagan, ",,,,,,,,
,,"Dist Murshidabad – 742101,",,,,,,,,
,,W.B.,,,,,,,,
16,676,"Nivedita Sewa Samiti, ",Sanjay Bose -,sanjaybose52@gmail.com,,,,,,
,,"7/8, Tulsi Mitra Garden Lane, ",8902426199,,,,,,,
,,"Shibpur, Howrah – 711102 ",,,No details,,,,,
17,677,"Bara Nagar Helping Hand, ",Devashish Sarkar –,baranagarhelpinghand2010@gmail.co,,,,,,
,,"15/1, A.K. Mukherjee Road,","08902132348, ",m,◆,,,,,
,,,,,,,16,,,
,,"Kolkata – 700090, ",,(Off),033 – 25312589,Disability,,,,
,,Post,"Nopara, ",,,"rehabilitation, ",,,,
,,North 24 Parganas,,,,Animal Welfare,,,,
,,,,,,"program, Self defence",,,,
,,,,,,"training, counselling ",,,,
18,678,Mohul Boni Jhargram Social,,Prasanta Saren -,-,,,,,
,,"Welfare Society, ",,8116059748,,,,,,
,,"Vill – Mohul Boni, P.O.",,,,No details,,,,
,,"Bandhgora, P.S. Jhargram, Dist",,,,,,,,
,,Paschim,,,,,,,,
,,Medinipur-721507,,,,,,,,
19,679,"Uttar Hazipur Sibalay Club, ",,Parthabrata Das -,shibalayarohi@rediffmail.com,,,,,
,,Vill,"- Uttar Hazipur, Shibalay, ","09477057094, ",,,,,,
,,"P.O. Diamond Harbour, ",,9734858946,,Village development,,,,
,,Dist South 24,,,,programme,,,,
,,Parganas - 743331,,,,,,,,
20,680,"Ghatal Mamata Welfare Society, ",,Sibaram Kapat -,"sibaramkapat@gmail.com,",,,,,
,,"Vill – Kushpata, ",,"09434455173, ",mamtawelfaresociety@gmail.com,,,,,
,,"P.O. Ghatal, ",,(Off) 07872649788,,No details,,,,
,,Dist Paschim,,,,,,,,
,,Medinipur – 721212,,,,,,,,
21,747,Barkona Vivekananda Yuva,,Somnath Sadhukhan -,barkonavivekanandayuvadisharee@re,,,,,
,,"Disharee, ",,"08926772946,0983294",diffmail.com,,,,,
,,"Village Barkona, ",,7285,,No details,,,,
,,"P.O. Nabastha, ",,,,,,,,
,," Block Memari – II, ",,,,,,,,
,,Dist Burdwan – 713407,,,,,,,,
22,790,Srinwantu Charitable,,Biplab Paul –,"soumikavumi@gmail.com,",,,,,
,,Foundation,,9635359540,kapasimanas@gmail.com,,,,,
,,"Vill Muktipur, ",,,,No details,,,,
,,"Post – Shyam Sundar, ",,,,,,,,
,,"Police Station Raina, ",,,,,,,,
,,,,,,,17,,,
,,Dist Burdwan-713424,,,,,,,,
23,796,"Swadesh Vikash Kendra, ",Kartik Dasgupta -,,swadeshvikashkendra@gmail.com,,,,,
,,"1/35, Hill View Park (Main), ","09932214806, ",,,,,,,
,,Asansol Dist – Burdwan,(Off),9609545206,,No details,,,,
,,-713304,,,,,,,,
24,812,Kanksha Vivekananda Seva,Sukumar Dutta -,,vivekanandakss@rediffmail.com,,,,,
,,"Samiti, c/o. Kedar Shaw,",8348060882,,,◆,,,,
,,"Panagarh Railpar, opp. Bank of",,,,Tree plantation,,,,
,,"Baroda, P.o. Panagarh Bazar, Dist",,,,,,,,
,,Burdwan -713148,,,,,,,,
25,841,"Loka Seva Parishad, ",Gokulendu Biswas –,,ptpbiswas@gmail.com,,,,,
,,"At P.O. Khirpai, ",9635177249,,,◆,,,,
,,Dist West,,,,"Rural development,",,,,
,,Midnapore – 721232,,,,Agriculture,,,,
,,,,,,awareness,,,,
,,,,,,"programme,",,,,
,,,,,,"Balsanskar kendra,",,,,
,,,,,,Medical camp,,,,
26,860,"Kanthi Matangini Seva Bharati,",Sandip Kumar Jana –,,sandip.jana2016@gmail.com,,,,,
,,"Madhabtirtha, ",9775028609,,,,,,,
,,"Vill Hatabari, ",,,,"School, ",,,,
,,"P.O. Contal, Dist Purba ",,,,"Medical centre,",,,,
,,,,,,Gaushala,,,,
,,Medinipur – 721401,,,,,,,,
27,888,"Adranagar Seva Bharati, ",Sunil Kar -,,sunilkar1948@gmail.com,,,,,
,,"Rainy Road, ","09679974897, ",,,,,,,
,,"Khejuria Danga, ",MS Ghosh -,,,"Coaching centre,",,,,
,,"P.O. Namopara, ","09002083114, ",,,"Balsankar Kendra,",,,,
,,,,,,"Medical camp, SHG ",,,,
,,Dist Purulia - 723103,Vivek Chatterjee -,,,,,,,
,,,Vice Pres,-,,,,,,
,,,9476345198,,,,,,,
28,926,Chandabila Tapoban Nabajagran,Sukuntala Mehta -,,-,,,,,
,,"Arannya Duhita Unnaya Samiti,",8116499114,,,,,,,
,,"Vill-Narda(Bankata),P.O.-",,,,,,,,
,,,,,,,18,,,
,,"Chandabila, P.S-Naragram ",,,,,,,,
,,Dist-Paschim Medinipur-721125,,,,,,,,
,,Uttar,Bihar,,,,,,,
1,148,Alok Foundation,,Alokkumar –,alokakumar2@gmail.com,,,,,
,,Satyam Smriti Kendra,,"08935976428, ",,,,,,
,,"(Yogashram), ",,(Off) 08083586511,,No detail,,,,
,,"Vill – Bankat, P.O. Bada, ",,,,,,,,
,,"Bariyarpur, P.S. Muffassil,",,,,,,,,
,,"N.H.28A, Motihari, ",,,,,,,,
,,Dist. East,,,,,,,,
,,Champaran – 845401,,,,,,,,
2,360,"Integrated Progressive Council, ",,Dr. Ramnath Singh –,rns7379@gmail.com,,,,,
,,Admn office address:-,,9334127722,,,,,,
,,"C/o. Sri Ramnath Singh, ",,,,No detail,,,,
,,"H/o. Sri Saryug Prasad, ",,,,,,,,
,,"Rampur Road, ",,,,,,,,
,,"Post Mahendru, ",,,,,,,,
,,Patna – 800006,,,,,,,,
3,411,"Amit Welfare Trust, ",,Amitkumar Singh –,"amitworld1864@gmail.com, ",,,,,
,,"GOPALPUR – 841286, ",,9939839305,awt1864@gmail.com,◆,,,,
,,P.O. Bakerganj,,,,No detail,,,,
,,Dist,Siwan - 841286,,,,,,,
4,439,Jeevika,,Prakash Bandhu -,"jeevikaindia51@gmail.com, ",,,,,
,,"Central Office, ",,"08676863671, ",www.jeevikabihar.org,"Micro Insurance with LIC,",,,,
,,"Bawan Bigha, ",,"09471480203, ",,MICRO INSURANCE,,,,
,,"Road No. – 8, Post – Ramna, ",,(Off),9304936806,"PROGRAMME,SHG,",,,,
,,Dist Muzaffarpur – 842002,,,,Training on Natural,,,,
,,,,,,Farming & Compost,,,,
,,,,,,making,,,,
5,447,"Maa Tara Eduational Trust, ",,Dr. Vinay Pratap -,"vinaypratap_2004@yahoo.co.in, ",,,,,
,,"Maa Tara Bhawan, ",,"09910733087, ",dr.vinaypratap@gmail.com,,,,,
,,,,,,No detail,,,,
,,,,,,,19,,,
,,"A&t. Khajuhatti, ",,(Off) 09910733087,,,,,,
,,P.o.,"Dighwadubauli, ",,,,,,,
,,Dist – Gopalgunj – 841409,,,,,,,,
6,691,Vikas Bharti (Gramin Niyojan,,Shirish Kumar –,"vikasbharti.siwan@gmail.com,",,,,,
,,"Evam Shodh Sansthan), ",,"08986358678, ",www.vikasbhartireri.org,,,,,
,,"Malviya Nagar, Mahadewa,",,(Off),9431449714,FCRA,Organic farming,,,
,,North of Prabhavati Devi Mahila,,,,training,,,,
,,"College, ",,,,,,,,
,,"Dist Siwan – 841226, Bihar ",,,,,,,,
,,Dakshin Bihar,,,,,,,,
1,149,Bunkar Arogya Mandir,,Premnarayan Prasad –,basantadying@gmail.com,,,,,
,,"Vastra Udyog, ",,"9430072211, ",,,,,,
,,"Bunkar Sewa Samiti, ",,(Off) 0631 – 2427782,,No detail,,,,
,,"Shri Durga Sthan, Maanpur,",,,,,,,,
,,"Buniyad Ganj Post, ",,,,,,,,
,,Gaya,Dist – 823003,,,,,,,
2,150,"Nav Aasha, ",,Anand Mohan Singh –,sanmarg.nalanda@gmail.com,,,,,
,,"402, Ashiyana Plaza, ",,"9431039155, ",,  ,,,,
,,"Budh Marg, Patna - 800001 ",,(Off),"0612 - 2205550, ",◆ ◆,,,,
,,,,,,No detail,,,,
,,,,2221418,,,,,,
3,359,Mahakavi Jaishankar Prasad,,Sant Ramchandra-,-,,,,,
,,Smriti Bhawan Bahu uddeshiya,,"9973609299, ",,,,,,
,,Seva Sansthan.,,(Off) 06112 – 255546,,No detail,,,,
,,"KUND KSHETRA, ",,,,,,,,
,,"Post - Rajgir, ",,,,,,,,
,,Dist Nalanda – 803116,,,,,,,,
4,405,"Ravi Foundation, ",,Vijay Sen –,sewabhartibihar@gmail.com,,,,,
,,"Jogipur Kachheri Road, ",,9135603322,,,,,,
,,"P.O HILSA, ",,,,No detail,,,,
,,Dist Nalanda – 801302,,,,,,,,
5,408,"Param Vaibhav Foundation, ",,Sujitkumar Verma -,parambaibhavfoundation@gmail.com,,,,,
,,"Dhaneshwar Ghat Road, Bihar",,"9431488323, ",,,,,,
,,,,,,,20,,,
,,"Sharif – 803101, ",,(O) 9304131844,,No detail,,,,
,,Dist. Nalanda,,,,,,,,
6,409,"Farms & Farmers Foundation, ",,Manishkumar –,"farmsnfarmers@gmail.com,",,,,,
,,"A/52, Housing Colony, Lohiya",,"0930 – 4511409, ",manishkumar.fnf@gmail.com,,,,,
,,"Nagar, Kankar Bagh, ",,(Off) - 9973678729,,No detail,,,,
,,PATNA – 800020,,,,,,,,
7,410,"Sewa Bharti, Bihar, ",,Jaiprakash Singh-,sewabhartibihar@gmail.com,◆,,,,
,PPS,"Vijay Niketan, Rajendra Nagar,",,"9431457559, ",,SHG,,,,
,,"Road No. 6 E, ",,"(Off) 0612 - 2903932,",,,,,,
,,Patna – 800016,,2662037,,,,,,
8,412,Sant Pathik Sevashram,,Rohit Pandey -,rohitpandeybjp@gmail.com,,,,,
,,"C/o. Rohit Pandey, Vill & PO",,9431024270,,,,,,
,,"BAIJANI, Thana Jagdishpur, ",,,,No detail,,,,
,,Dist,Bhagalpur – 813112,,,,,,,
9,419,Veer,Savarkar Samajik Evam,Atulkumar –,"bjymatul@gmail.com,",,,,,
,,"Shaikshanik Sansthan, ",,9835415012,veersavarkar2009@gmail.com,,,,,
,,"Anand Vihar Colony, ",,,,No detail,,,,
,,"Ambedkar Path, ",,,,,,,,
,,PATNA – 800014,,,,,,,,
10,566,Gurukul Foundation of,,Rakesh Kumar,"gurukulbs@gmail.com,",,,,,
,,"Education & Research Trust, ",,Upadhyay –,"trustofgurukul@gmail.com,",,,,,
,,"G1, Badal Apartment, ",,"08229818821, ",www.gurukulfoundation.co.in,No detail,,,,
,,North,"Sri Krishnapuri, ","(Off) 09470591850, ",,,,,,
,,Patna – 800001,,9097193015,,,,,,
11,681,"Janeshwar Vikas Kendra, ",,Dhananjay Singh -,utsawdigitals@gmail.com,,,,,
,,Sri Sideswar Vidharthi,,"07870903438, ",,◆,,,,
,,"At Deo, Sinchai Colony, ",,(Off) 09431633158,,No detail,,,,
,,Aurangabad – 824202,,,,,,,,
12,704,Nirmal Chandra Dey Smrity,,Sanjay Kumar –,-,,,,,
,,"Gram Vikas Samity, ",,"9804484917, ",,,,,,
,,"c/o. Sanjay, Iron Merchant, ",,(Off),"9431223772,",No detail,,,,
,,"Gaya Bye Pass Road, ",,9931882853,,,,,,
,,,,,,,21,,,
,,Aurangabad - 824101,,,,,,,,
13,809,"Janhit Vikas Samiti, ",M.P. Sinha –,jvsnawada@yahoo.com,,,,,,
,,"Professor Colony, ",9431227062,,◆,,,,,
,,"Linepar, Mirzapur, ",,,"Water harvesting,",,,,,
,,Dist - Nawada - 805110,,,family counselling,,,,,
,,,,,"centre, Watershed",,,,,
,,,,,"development, Non",,,,,
,,,,,"formal education, SHG,",,,,,
,,,,,Women,,,,,
,,,,,empowerment,,,,,
14,810,"Apurn Bhavana Samiti, Vidyarthi",Jivan Kumar –,krantiarun@gmail.com,,,,,,
,,"Sadan, Chitrakoot nagar, Road",7543034884,FCRA,,,,,,
,,"No-9, Takyaper, Danapur, Patna - ",,,Education to,,,,,
,,800012,,,"marginalised, ",,,,,
,,,,,Self,reliance,,,,
,,Brij,,,,,,,,
1,151,"Sewa Bharati, ",S.N. Mishra -,snmishra@rediffmail.com,,,,,,
,PPS,Braj Prant,"09897032131, ",,,,,,,
,,"Madhav Bhavan, ",(O) 0562 – 3294902,,"Matruchhaya Agra,",,,,,
,,"173, Veer Savarkar Nagar, Jaipur",,,Arogya Mitra,,,,,
,,"House , ",,,,,,,,
,,Agra - 282010,,,,,,,,
2,152,Pt. Deendayal Upadhayaya Janm,Dr.Roshanlal -,"rajvirsingh000@gmail.com,",,,,,,
,,"Bhumi Smarak Samiti, ","09412179799,",www.deendayaldham.org,,,,,,
,,"Deendayal Dhaam, ",Rajveersingh -,,Ayurvedic Pharmacy,,,,,
,,"Nagla Chandrbhan Farah,","09456620203, ",,Inter High School,,,,,
,,Mathura – 281122,"(O) 0565 – 2763243,",,,,,,,
,,,2763575,,,,,,,
3,153,"Keshav Dhaam, ",Padam Singh –,"padamsinghup@rediffmail.com,",,,,,,
,,"Vrandavan, ","9412780365, ",www.keshavdham.com,,,,,,
,,"Keshav Nagar, ",(O) 0565 – 2540266,,Hostel for North East,,,,,
,,"Vrandavan, ",,,"children, ",,,,,
,,,,,Keshav Dham,,,,,
,,Mathura – 281124,,,,,,,,
,,,,,Saraswati,Vidya,,,,
,,,,,,,22,,,
,,,,,,"Mandir,",,,,
,,,,,,Vriddhashram,,,,
4,154,Sankat Mochan,,Srinivas Gupta –,hero.laxmiauto@gmail.com,,,,,
,,Sewa Sansthan,,0562 – 3251622,,,,,,
,,"Laxmi Vatika, ",,,,No detail,,,,
,,"C-20 Trans Yamuna, ",,,,,,,,
,,"NH2, Agra -282001 ",,,,,,,,
5,155,Shri Varshney Parmarth Sewa,,Devendrakumar,-,,,,,
,,"Samiti, ",,Varshney –,,No detail,,,,
,,"Varshneyapuram, ",,9368246200,,,,,,
,,"New Basti, ",,,,,,,,
,,Firozabad – 283203,,,,,,,,
6,156,Sangathan Sewa Samiti,,Pawan Mukharia -,pawan312gupta@gmail.com,,,,,
,,"H.No. - 53, Adarsh Nagar, ",,"9837328690, ",,,,,,
,,"Gali No. - 11, ",,(O) 9837202223,,No detail,,,,
,,Firozabad – 283203,,,,,,,,
7,192,"Jan Kalyan Nyas, ",,K.C.Gupta –,kc.gupta005@gmail.com,,,,,
,,Keshav Madhav Raktkosh,and,"08307130991, ",,,,,,
,,"Pathology, Shri Krishana",,(O),"0581-2423519,",Shri Rattan,,,,
,,"Aushadhi Bhandar,",,2540318,,Bhattacharya Smiriti,,,,
,,,,,,Chhatrawas Smriti for,,,,
,,"Shrikrishnaleela Sthal Market,",,,,,,,,
,,,,,,North East,,,,
,,Bareily – 243005,,,,,,,,
,,,,,,"students,Keshav",,,,
,,,,,,Madhav Blood Bank &,,,,
,,,,,,Pathology Centre,,,,
8,196,Khushhali (Aranya) Prakriti,,Sameer Kushali -,sameer.khushhali@gmail.com,,,,,
,,Paryavaran Sanrakshan Evam,,7599001157,,,,,,
,,"Vikas Samiti, ",,,,"Khushhali Goshala,",,,,
,,"118, Umang Part II, ",,,,Organic farming,,,,
,,"Mahanagar colony, ",,,,,,,,
,,Bareily – 243001,,,,,,,,
9,198,"Lok Adalat Vikas Parishad, ",,Saroj Bala Agarwal –,"agrawaldiwanshu@gmail.com,",,,,,
,,"c/o. H.P. Agrawal Adv. 2A, ",,"8755552831, ",himadi@gmail.com,Legal Counselling,,,,
,,,,,,,23,,,
,," Judge House, ",,(O),05612-232020,,,,,
,,"Ganesh Nagar, ",,,,,,,,
,,Firozabaad – 283203,,,,,,,,
10,199,"Kalyanam Karoti, ",,Gaurav Agrawal -,"kalyanamkarotimathura@gmail.com,",,,,,
,,"Kalyaan Dhaam, ",,"09897203030, ",www.kkm.org.in,,,,,
,,"Saraswati Kund, Masani Delhi",,(O),"0565 - 2404508,",Special School for,,,,
,,"Marg,",Mathura - 281003,2402436,,Mentally challenged,,,,
,,,,,,"children, Viklang",,,,
,,,,,,Centre,,,,
11,200,Shri Devdatt Sharma,Smarak,Sunil Dutt –,dalalelectricals@gmail.com,,,,,
,,"Trust, E-35,36, ",,"09410427126, ",,,,,,
,,"“Surya” Vikram Colony, ",,(O) 0571 – 2742482,,No detail,,,,
,,Aligarh – 202001,,,,,,,,
12,202,Paal Samaj Seva Samiti,,Sudesh Kumar -,sudeshkumarpalta@gmail.com,,,,,
,,"Vill Madhiya ,Po.Pach Devra, ",,"09793668348, ",,,,,,
,,Dist Hardoi – 241123,,(O),9794046813,Goshala,,,,
13,203,Srujan,,Kuldeep Gupta –,gupta.rajdeep@gmail.com,,,,,
,,"F-584 Govind Nagar, ",,9837000459,,,,,,
,,Mathura - 281001,,,,No detail,,,,
14,204,Rashtriya Mahila Evam Baal,,"Ram – 9837180985,",baghelshreeram@gmail.com,,,,,
,,Kalyan Sanstan,,Dr.Chandraprakash,, ,,,,
,,"19/527-A, Ved Nagar, ",,"Bishnoi-9719375176, ",,No detail,,,,
,,"Bank Colony, ",,(O) 0571-2412155,,,,,,
,,Aligarh - 202001,,,,,,,,
15,299,"Youth For Nation, ",,Dr.B.Gunakar -,"gunakaryfn@gmail.com, ",,,,,
,,"B-2, 5th Floor, ",,"9219661131, ",www.youthfornation.org,,,,,
,,"Shri Vaishno State Apartment, ",,(O) 0571 – 2706660,,No detail,,,,
,,"Samad Road, Aligarh– 202001 ",,,,,,,,
16,378,Rana Jan Kalyaan Evam Sewa,,Dr.S.S.Rana –,"shravancapart@yahoo.com,",,,,,
,,"Samiti, ",,"9412271489, ",sinshravan@gmail.com,◆,,,,
,,"7, Sona Nagar, Kheria Mod, ",,(O) 9760456151,,Manufacturing,,,,
,,Agra – 282001,,,,Handicrafts,,,,
,,,,,,,24,,,
17,457,Agra Gaushala Gauseva,,Deendayal Singhal –,"gaushalafoundation@gmail.com,",,,,,
,,"Foundation, ",,9837095312,www.agragaushala.org,Gaushala,,,,
,,"Sagar Market, D – Block Road,",,,,,,,,
,,"Kamla Nagar, ",,,,,,,,
,,Agra – 282005,,,,,,,,
18,474,"Path Maker Foundation, ",,Ramnaresh Suthail -,"talk2ramnaresh@gmail.com,",,,,,
,,"Vill & Post Rampur, ",,"09528872907, ",www.pathmakerfounadtion.com,,,,,
,,Block,"Achanera Farah Road, ",(O) 09412671042,,,,,,
,,Agra -282031,,,,No detail,,,,
19,478,"Nav Jagran Mandal, ",,Shravan Kumar -,navjagranmandal@gmail.com,,,,,
,,"Bankat ,via Tundla, ",,9760456151,,,,,,
,,Firozabad Dist - 282007,,,,,,,,
20,528,Akhil Bhartiya Dehdan Seva,,M. Mishra –,dr.ramdehdan@gmail.com,,,,,
,,"Sansthan, ",,"09720005926, ",,Deh Daan,,,,
,,"6, Shubham Enclave, Andrews",,"(O) 0562 – 2543699,",,Propagation,,,,
,,"School Road, Balkeshwar",,9719699988,,,,,,
,,"Ashram, ",,,,,,,,
,,Agra – 282005,,,,,,,,
21,542,Shri Bansiwale Mandir Seva,,Sanjay Kumar-,-,,,,,
,,"Samiti, ",,9839801536,,,,,,
,,"Mo. Bahi Dulla Gunj – Tilhar, ",,,,SHG,,,,
,,Shahjahanpur – 242307,,,,,,,,
22,544,"Jan Kalyan Samiti, ",,Ashok Bhaskar –,-,,,,,
,,"566, Sahukara, ",,"9412248956, ",,,,,,
,,Bareily - 243001,,"(O) 2474046,",,No detail,,,,
,,,,"3296390,",,,,,,
,,,,9358356693,,,,,,
23,545,Vision Rohilkhand Welfare,,Manoj Rastogi -,visionrohilkhand@gmail.com,,,,,
,,"Association, ",,"9058723377, ",,,,,,
,,"2nd Rampur Garden, ",,(O) 09837087121,,SHG,,,,
,,"Gangacharan Hospital, ",,,,,,,,
,,Bareily – 243001,,,,,,,,
,,,,,,,25,,,
24,559,"Mother India Foundation, ",Chander Lok Chandlay,,"chanderlok28@gmail.com,motherindia",,,,,
,,"35, M.I.G. New Shahganj Colony, ",-9319372672,,".foundation@rediffmail.com, ",◆,,,,
,,Agra – 282010,,,www.angelfire.com,Family counselling,,,,
25,628,"Utthan India Foundation, ",Manish K Gupta-,,"manishgupta@sgei.org, ",,,,,
,,"A -1, Ganga Nagar Extension, ",9927082615,,www.utthaanindia.org,◆◆,,,,
,,"Near Paschimpuri Chowraha, ",,,,No detail,,,,
,,"Sikandra Road - 282007, ",,,,,,,,
,,Agra,,,,,,,,
26,630,"Wake Up Agra, ",Sushir Bhagat –,,wake.up.agra@gmail.com,,,,,
,,"1 – Suresh Plaza, MG Road, ",8958959999,,,,,,,
,,Agra – 282002,,,,No detail,,,,
27,641,"Swavlamban Sansthan, ",Prateek Choudhay -,,"rssnps@gmail.com, ",,,,,
,,"118, Sulabhpuram, Sikandra",8171011113,,www.swavlamban.in,◆,,,,
,,"Badla Road – 282007, ",,,,No detail,,,,
